Source,Target,Type,Id,Label,timeset,Weight
1629867,7264348,Undirected,712,,,2
1629867,7723717,Undirected,713,,,2
1629867,7725788,Undirected,714,,,2
1629867,9035501,Undirected,715,,,2
1629867,10021028,Undirected,717,,,1
1629867,10025943,Undirected,718,,,2
1629867,10049592,Undirected,719,,,2
1629867,10394239,Undirected,720,,,2
1629867,11093702,Undirected,721,,,2
1629867,11482127,Undirected,722,,,2
1629867,11503823,Undirected,723,,,2
1629867,11517708,Undirected,724,,,2
1629867,11905863,Undirected,725,,,1
1629867,12146610,Undirected,726,,,2
1629867,12231349,Undirected,727,,,2
1629867,12529644,Undirected,729,,,2
1629867,12952420,Undirected,730,,,2
1629867,13429872,Undirected,731,,,2
1629867,14453855,Undirected,732,,,2
1629867,15967756,Undirected,733,,,2
1629867,17129157,Undirected,734,,,2
1629867,17656022,Undirected,735,,,2
1629867,18027657,Undirected,736,,,2
1629867,19086307,Undirected,737,,,2
1629867,19105152,Undirected,738,,,2
1629867,20113344,Undirected,739,,,2
1629867,20562012,Undirected,740,,,2
1629867,20647409,Undirected,741,,,2
1629867,20756088,Undirected,742,,,2
1629867,21887427,Undirected,743,,,2
1629867,23268563,Undirected,745,,,2
1629867,23394348,Undirected,746,,,2
1629867,24435056,Undirected,747,,,2
1629867,26437207,Undirected,748,,,2
1629867,27283107,Undirected,749,,,2
1629867,28605019,Undirected,750,,,2
1629867,30825935,Undirected,751,,,2
1629867,31136873,Undirected,752,,,2
1629867,31593605,Undirected,753,,,2
1629867,32207779,Undirected,754,,,2
1629867,32410414,Undirected,755,,,2
1629867,32703581,Undirected,756,,,2
1629867,37214979,Undirected,757,,,2
1629867,45457072,Undirected,758,,,2
1629867,51109331,Undirected,759,,,2
1629867,54216672,Undirected,760,,,1
1629867,57151266,Undirected,761,,,2
1629867,58828580,Undirected,762,,,2
1629867,63549086,Undirected,763,,,2
1629867,64564860,Undirected,764,,,2
1629867,68229314,Undirected,765,,,2
1629867,74738266,Undirected,766,,,1
1629867,79892799,Undirected,768,,,2
1629867,81270009,Undirected,769,,,2
1629867,81295831,Undirected,770,,,2
1629867,92030000,Undirected,771,,,2
1629867,95065218,Undirected,772,,,2
1629867,98146873,Undirected,773,,,2
1629867,104374278,Undirected,774,,,2
1629867,112989594,Undirected,775,,,2
1629867,117257470,Undirected,776,,,2
1629867,122433384,Undirected,777,,,2
1629867,128018796,Undirected,778,,,2
1629867,137526262,Undirected,779,,,2
1629867,137964272,Undirected,780,,,2
1629867,146259603,Undirected,782,,,2
1629867,149058373,Undirected,783,,,2
1629867,151307340,Undirected,784,,,2
1629867,151866443,Undirected,785,,,2
1629867,153336245,Undirected,786,,,2
1629867,155635390,Undirected,787,,,2
1629867,156310993,Undirected,788,,,2
1629867,160240202,Undirected,789,,,2
1629867,160757733,Undirected,790,,,2
1629867,164801996,Undirected,791,,,2
1629867,212317872,Undirected,792,,,2
1629867,214628133,Undirected,793,,,2
1629867,219283129,Undirected,794,,,2
1629867,230448450,Undirected,795,,,2
1629867,256120722,Undirected,796,,,2
1629867,257471927,Undirected,797,,,2
1629867,267311705,Undirected,798,,,2
1629867,267736157,Undirected,799,,,2
1629867,268624782,Undirected,800,,,2
1629867,287487038,Undirected,801,,,2
1629867,307762440,Undirected,802,,,2
1629867,322944819,Undirected,803,,,2
1629867,331969104,Undirected,804,,,2
1629867,364348279,Undirected,805,,,2
1629867,449260333,Undirected,806,,,2
1638025,2362779,Undirected,809,,,2
1638025,3880497,Undirected,810,,,2
1638025,8896446,Undirected,812,,,2
1638025,9484132,Undirected,813,,,2
1638025,11338980,Undirected,814,,,2
1638025,13415214,Undirected,815,,,2
1638025,17897806,Undirected,816,,,2
1638025,18774238,Undirected,817,,,2
1638025,19207281,Undirected,818,,,2
1638025,23309704,Undirected,819,,,2
1638025,27835117,Undirected,820,,,2
1638025,30527869,Undirected,821,,,2
1638025,31336317,Undirected,822,,,2
